"","taxa","site","habitat","transect_id","year","period","n_recruits","recruits_std","bleaching_status"
"1","Acr","LTER1","Lagoon","LTER1_BR_T01",2013,0,1,1,"Pre"
"2","Acr","LTER1","Lagoon","LTER1_BR_T01",2014,0,2,2,"Pre"
"3","Acr","LTER1","Lagoon","LTER1_BR_T01",2015,0,0,0,"Pre"
"4","Acr","LTER1","Lagoon","LTER1_BR_T01",2016,0,0,0,"Pre"
"5","Acr","LTER1","Lagoon","LTER1_BR_T01",2017,0,NA,NA,"Pre"
"6","Acr","LTER1","Lagoon","LTER1_BR_T01",2018,0,1,1,"Pre"
"7","Acr","LTER1","Lagoon","LTER1_BR_T01",2019,1,2,2,"Post"
"8","Acr","LTER1","Lagoon","LTER1_BR_T01",2020,1,0,0,"Post"
"9","Acr","LTER1","Lagoon","LTER1_BR_T01",2021,1,3,3,"Post"
"10","Acr","LTER1","Lagoon","LTER1_BR_T01",2022,1,0,0,"Post"
"11","Acr","LTER1","Lagoon","LTER1_BR_T01",2023,1,0,0,"Post"
"12","Acr","LTER1","Lagoon","LTER1_BR_T01",2024,1,2,2,"Post"
"13","Acr","LTER1","Lagoon","LTER1_BR_T02",2013,0,0,0,"Pre"
"14","Acr","LTER1","Lagoon","LTER1_BR_T02",2014,0,0,0,"Pre"
"15","Acr","LTER1","Lagoon","LTER1_BR_T02",2015,0,0,0,"Pre"
"16","Acr","LTER1","Lagoon","LTER1_BR_T02",2016,0,0,0,"Pre"
"17","Acr","LTER1","Lagoon","LTER1_BR_T02",2017,0,NA,NA,"Pre"
"18","Acr","LTER1","Lagoon","LTER1_BR_T02",2018,0,1,1,"Pre"
"19","Acr","LTER1","Lagoon","LTER1_BR_T02",2019,1,0,0,"Post"
"20","Acr","LTER1","Lagoon","LTER1_BR_T02",2020,1,1,1,"Post"
"21","Acr","LTER1","Lagoon","LTER1_BR_T02",2021,1,0,0,"Post"
"22","Acr","LTER1","Lagoon","LTER1_BR_T02",2022,1,1,1,"Post"
"23","Acr","LTER1","Lagoon","LTER1_BR_T02",2023,1,0,0,"Post"
"24","Acr","LTER1","Lagoon","LTER1_BR_T02",2024,1,1,1,"Post"
"25","Acr","LTER1","Lagoon","LTER1_BR_T03",2013,0,0,0,"Pre"
"26","Acr","LTER1","Lagoon","LTER1_BR_T03",2014,0,0,0,"Pre"
"27","Acr","LTER1","Lagoon","LTER1_BR_T03",2015,0,0,0,"Pre"
"28","Acr","LTER1","Lagoon","LTER1_BR_T03",2016,0,0,0,"Pre"
"29","Acr","LTER1","Lagoon","LTER1_BR_T03",2017,0,NA,NA,"Pre"
"30","Acr","LTER1","Lagoon","LTER1_BR_T03",2018,0,0,0,"Pre"
"31","Acr","LTER1","Lagoon","LTER1_BR_T03",2019,1,1,1,"Post"
"32","Acr","LTER1","Lagoon","LTER1_BR_T03",2020,1,0,0,"Post"
"33","Acr","LTER1","Lagoon","LTER1_BR_T03",2021,1,2,2,"Post"
"34","Acr","LTER1","Lagoon","LTER1_BR_T03",2022,1,3,3,"Post"
"35","Acr","LTER1","Lagoon","LTER1_BR_T03",2023,1,0,0,"Post"
"36","Acr","LTER1","Lagoon","LTER1_BR_T03",2024,1,0,0,"Post"
"37","Acr","LTER1","Lagoon","LTER1_BR_T04",2013,0,0,0,"Pre"
"38","Acr","LTER1","Lagoon","LTER1_BR_T04",2014,0,1,1,"Pre"
"39","Acr","LTER1","Lagoon","LTER1_BR_T04",2015,0,0,0,"Pre"
"40","Acr","LTER1","Lagoon","LTER1_BR_T04",2016,0,1,1,"Pre"
"41","Acr","LTER1","Lagoon","LTER1_BR_T04",2017,0,NA,NA,"Pre"
"42","Acr","LTER1","Lagoon","LTER1_BR_T04",2018,0,0,0,"Pre"
"43","Acr","LTER1","Lagoon","LTER1_BR_T04",2019,1,0,0,"Post"
"44","Acr","LTER1","Lagoon","LTER1_BR_T04",2020,1,0,0,"Post"
"45","Acr","LTER1","Lagoon","LTER1_BR_T04",2021,1,0,0,"Post"
"46","Acr","LTER1","Lagoon","LTER1_BR_T04",2022,1,2,2,"Post"
"47","Acr","LTER1","Lagoon","LTER1_BR_T04",2023,1,0,0,"Post"
"48","Acr","LTER1","Lagoon","LTER1_BR_T04",2024,1,1,1,"Post"
"49","Acr","LTER1","Forereef","LTER1_OR_T01",2013,0,6,6,"Pre"
